日期,M0330255,K0182681,T1807286,M0340585,M0051559,M0051566,S0105896,S0105899,S0031645,M0000005
2022-08-11,5288.7939,2787.0631,6439.3586,,212.0337,217.535,2225.34,5723.52,,
2022-08-10,5203.1167,2730.9608,6322.0558,6.72375,212.0437,217.5474,2188.01,5591.73,1795.05,91.93
2022-08-09,5227.814,2764.068,6341.4806,6.75265,211.999,217.5242,2197.86,5596.16,1795.25,90.5
2022-08-08,5211.2627,2761.1571,6323.0746,6.75115,212.0929,217.5825,2195.79,5632.46,1784.05,90.76
2022-08-05,5184.1265,2774.3351,6270.5113,6.7612,212.1342,217.4877,2168.98,5611.2,1773.25,89.01
2022-08-04,5108.2407,2741.0872,6158.7346,6.7493,212.307,217.4375,2144.17,5467.05,1783.2,88.54
2022-08-03,5064.6743,2710.7238,6124.3146,6.758,212.1131,217.3032,2187.45,5575.27,1761.25,90.66
2022-08-02,5106.2051,2730.7553,6169.9961,6.7526,212.0114,217.2027,2202.11,5640.2,1779.75,94.42
2022-08-01,5243.7412,2781.6822,6347.2211,6.7688,211.8966,217.0677,2207.22,5641.39,1772.4,93.89
2022-07-29,5212.4263,2792.3287,6294.1144,6.7445,211.5146,216.8622,2194.92,5559.6,1753.4,98.62
2022-07-28,5261.1455,2827.1067,6348.1655,6.747,211.171,216.7557,2189.9,5566.66,1753.5,96.42
2022-07-27,5244.4736,2829.9217,6332.2327,6.759,211.2968,216.7147,2115.41,5367.85,1714.05,97.26
2022-07-26,5235.5039,2854.6387,6307.956,6.7638,211.2304,216.6306,2132.57,5408.95,1720.05,94.98
2022-07-25,5184.7227,2837.2596,6231.2355,6.75095,211.0634,216.5033,2076.73,5247.08,1718.9,96.7
2022-07-22,5227.0732,2848.436,6289.5325,6.75145,210.9426,216.3374,2072.73,5194.26,1736.95,94.7
2022-07-21,5238.7979,2836.6615,6347.5984,6.76675,211.0516,216.2693,2049.71,5126.44,1705.1,96.35
2022-07-20,5281.1787,2874.0775,6410.7088,6.7545,210.8949,216.1647,2061.05,5147.87,1709.3,99.88
2022-07-19,5241.2861,2865.6029,6335.7093,6.74425,210.6881,216.0668,2039.02,5040.26,1713.05,104.22
2022-07-18,5236.2427,2878.6393,6312.3557,6.74325,210.6728,215.9756,2064.16,5084.33,1719.05,102.6
