1,指标名称,指标类别,频率,单位,来源,国家,更新时间
M0007437,当期收入感受指数,macro_domestic实体经济,季,%,中国人民银行,中国,2022-06-29
M0012303,消费者信心指数(月),macro_domestic实体经济,月,,国家统计局,中国,2022-08-10
M0001427,社会消费品零售总额:当月值,macro_domestic实体经济,月,亿元,国家统计局,中国,2022-07-19
M0061573,社会消费品零售总额:环比:季调,macro_domestic实体经济,月,%,国家统计局,中国,2022-07-15
M6001131,对GDP累计同比的拉动:最终消费支出,macro_domestic实体经济,季,%,国家统计局,中国,2022-07-21
M6001133,对GDP累计同比的拉动:货物和服务净出口,macro_domestic实体经济,季,%,国家统计局,中国,2022-07-21
M6001132,对GDP累计同比的拉动:资本形成总额,macro_domestic实体经济,季,%,国家统计局,中国,2022-07-21
M5567889,GDP:不变价:当季值,macro_domestic实体经济,季,亿元,国家统计局,中国,2022-07-21
M0061567,GDP:环比:季调,macro_domestic实体经济,季,%,国家统计局,中国,2022-07-15
M5567876,GDP:现价:当季值,macro_domestic实体经济,季,亿元,国家统计局,中国,2022-07-21
M5447955,对GDP累计同比的拉动:第一产业,macro_domestic实体经济,季,百分点,国家统计局,中国,2022-07-15
M5447957,对GDP累计同比的拉动:第三产业,macro_domestic实体经济,季,百分点,国家统计局,中国,2022-07-21
M5447956,对GDP累计同比的拉动:第二产业,macro_domestic实体经济,季,百分点,国家统计局,中国,2022-07-21
M0041341,宏观经济景气指数:先行指数,macro_domestic实体经济,月,,国家统计局,中国,2022-08-10
M0017126,PMI,macro_domestic实体经济,月,%,国家统计局,中国,2022-07-31
M6635220,中金CMI指数:终值,macro_domestic实体经济,月,%,中国国际金融公司,中国,2022-05-30
M6642105,中金经济活动领先指数I,macro_domestic实体经济,月,%,中国国际金融公司,中国,2022-07-22
M6642106,中金经济活动领先指数II,macro_domestic实体经济,月,%,中国国际金融公司,中国,2022-07-22
M6642107,中金经济活动领先指数III,macro_domestic实体经济,月,%,中国国际金融公司,中国,2022-07-22
M6425937,钢铁PMI,macro_domestic实体经济,月,%,中国物流与采购联合会,中国,2022-07-31
M0048236,非制造业PMI:商务活动,macro_domestic实体经济,月,%,中国物流与采购联合会,中国,2022-07-31
M0000138,非官方中国PMI,macro_domestic实体经济,月,%,根据新闻整理,,2022-08-01
M0024135,城镇失业人数,macro_domestic实体经济,季,万人,国家统计局,中国,2022-05-10
M5480389,城镇新增就业人数:累计值,macro_domestic实体经济,月,万人,人力资源和社会保障部,中国,2022-07-15
M0024136,城镇登记失业率,macro_domestic实体经济,季,%,国家统计局,中国,2022-02-07
M5650805,城镇调查失业率,macro_domestic实体经济,月,%,国家统计局,中国,2022-07-15
M6600003,百度搜索指数:失业金领取条件,macro_domestic实体经济,日,次,根据新闻整理,中国,2022-08-17
M5407921,克强指数:当月值,macro_domestic实体经济,月,%,Wind,中国,2022-07-21
M5792266,工业产能利用率:当季值,macro_domestic实体经济,季,%,国家统计局,中国,2022-07-15
M5567963,工业增加值:定基指数,macro_domestic实体经济,月,2010年=100,国家统计局,中国,2022-07-19
M0000545,工业增加值:当月同比,macro_domestic实体经济,月,%,国家统计局,中国,2022-07-15
M0061571,工业增加值:环比:季调,macro_domestic实体经济,月,%,国家统计局,中国,2022-07-15
M0043728,5000户工业企业景气扩散指数:固定资产投资情况,macro_domestic实体经济,季,%,中国人民银行,中国,2022-03-07
M0054349,5000户工业企业景气扩散指数:宏观经济热度,macro_domestic实体经济,季,%,中国人民银行,中国,2022-06-29
S6002167,销量:挖掘机:主要企业:当月同比,macro_domestic实体经济,月,%,根据新闻整理,中国,2022-08-10
S0044751,国房景气指数,macro_domestic实体经济,月,,国家统计局,中国,2022-07-15
M0085932,CPI:不包括食品和能源(核心CPI):当月同比,macro_domestic实体经济,月,%,国家统计局,中国,2022-08-10
M0085934,CPI:不包括食品和能源(核心CPI):环比,macro_domestic实体经济,月,%,国家统计局,中国,2022-08-10
M0043747,CPI:定基指数:2000年12月=100,macro_domestic实体经济,月,2000年12月=100,Wind,中国,2022-08-10
M0000612,CPI:当月同比,macro_domestic实体经济,月,%,国家统计局,中国,2022-08-10
M0000705,CPI:环比,macro_domestic实体经济,月,%,国家统计局,中国,2022-08-10
S0113891,22个省市:平均价:生猪,macro_domestic实体经济,周,元/千克,根据新闻整理,中国,2022-08-02
M5439528,GDP:平减指数:GDP:初步核算:当季同比,macro_domestic实体经济,季,%,Wind,中国,2022-07-15
M0001227,PPI:全部工业品:当月同比,macro_domestic实体经济,月,%,国家统计局,中国,2022-08-10
M0049160,PPI:全部工业品:环比,macro_domestic实体经济,月,%,国家统计局,中国,2022-08-10
